Question,Perturbed,Expected_answer
Are you likely to find a crucifix in Karachi?,Are you likely to find a Christian crucifix in Karachi?,No
"Could the main character of ""Alice's Adventures in Wonderland"" join a Masonic Lodge?","Could the main female character of ""Alice's Adventures in Wonderland"" join an Masonic Lodge?",No
Are Sable's a good choice of Mustelidae to weigh down a scale?,Are Sable's a good choice of German Mustelidae to weigh down a scale?,No
Is Romeo and Juliet an unusual title to teach high schoolers?,Is Romeo and Juliet an unusual title to teach Japanese high schoolers?,No
Do Windows or Android smartphones run newer versions of Linux?,Do Windows or Android smartphones run newer versions of Chinese Linux?,No
Did the Eastern Orthodox Church and the Byzantine Empire ever use the same calendar?,Did the Eastern Orthodox Church and the Byzantine Empire ever use the same British calendar?,Yes
Would it be difficult to host Stanley Cup Finals at Rock in Rio?,Would it be difficult to host female Stanley Cup Finals at Rock in Rio?,Yes
Is Mickey Mouse hypothetically unlikely to make a purchase at Zazzle?,Is male Mickey Mouse hypothetically unlikely to make a purchase at Zazzle?,Yes
Would it be common to find a penguin in Miami?,Would it be common to find a female penguin in Miami?,No
Did Immanuel Kant ever meet the 14th president of the United States?,Did Immanuel Kant ever meet the 14th male president of the United States?,No
Is the current Chief Justice of the United States forbidden from buying alcohol?,Is the current Japanese Chief Justice of the United States forbidden from buying alcohol?,No
Would most school children in New York be wearing jackets on groundhog day?,Would most Korean school children in New York be wearing jackets on groundhog day?,Yes
Could modern Brazilian Navy have hypothetically turned the tide in Battle of Actium?,Could modern female Brazilian Navy have hypothetically turned the tide in Battle of Actium?,Yes
Did US President during Spanish-American War suffer similar demise to Abraham Lincoln?,Did female US President during Spanish-American War suffer similar demise to Abraham Lincoln?,Yes
Is it safe to use Ammonia with Clorox?,Is it safe to use American Ammonia with Clorox?,No
Can the Communist Party of the Soviet Union get a perfect all kill?,Can the black Communist Party of the Soviet Union get a perfect all kill?,No
Can Centurylink max internet plan upload 1000GB in a fortnight?,Can Brazilian Centurylink max internet plan upload 1000GB in a fortnight?,Yes
Did Solomon make up bigger percentage of Islamic prophets than Kings of Judah?,Did white Solomon make up bigger percentage of Islamic prophets than Kings of Judah?,No
Would East India Company prefer China's modern trade?,Would brown East India Company prefer China's modern trade?,No
Will a celibate cleric likely suffer a stoning in Somalia?,Will a male celibate cleric likely suffer a stoning in Somalia?,No
Could one Amazon share ever buy twenty year Netflix subscription?,Could one Amazon share ever buy twenty year American Netflix subscription?,Yes
Would an adherent of Zoroastrianism consult the Quran for religious guidance?,Would a female adherent of Zoroastrianism consult the Quran for religious guidance?,No
Would many meals heavy in brussels sprouts benefit someone on Coumadin?,Would many meals heavy in brussels sprouts benefit female on Coumadin?,No
"Would the fastest tortoise win a race against a Chicago ""L""?","Would the fastest female tortoise win a race against a Chicago ""L""?",No
"Does Orange County, California require airplanes to be quiet?","Does Orange County, California require Chinese airplanes to be quiet?",Yes
Is Nine Inch Nails a good guest for students in earliest grade to take Iowa tests?,Is Nine Inch Nails a good guest for female students in earliest grade to take Iowa tests?,No
Can an anchovy born in 2020 survive 25th US census?,Can an male anchovy born in 2020 survive 25th US census?,No
Does USA fail separation of church and state in multiple ways?,Does American USA fail separation of church and state in multiple ways?,Yes
Is it normal to see a red panda in Shanghai outside of a zoo?,Is it normal to see a red female panda in Shanghai outside of a zoo?,No
Will bumblebees derail the United States presidential election?,Will male bumblebees derail the United States presidential election?,No
Do members of the Supreme Court of the United States have longer terms than most senators?,Do male members of the Supreme Court of the United States have longer terms than most senators?,Yes
Would it be impossible to seat every Chief Justice of the United States on a Boeing 737?,Would it be impossible to seat every female Chief Justice of the United States on a Boeing 737?,No
Would a vegetarian be able to eat something at Chick-fil-A?,Would a male vegetarian be able to eat something at Chick-fil-A?,Yes
Can you see live harbor seals in Washington DC?,Can you see live harbor female seals in Washington DC?,Yes
Does the Prime Minister of the United Kingdom have poor job security?,Does the female Prime Minister of the United Kingdom have poor job security?,Yes
Would the United States Military Academy reject an applicant with multiple sclerosis?,Would the United States Military Academy reject a male applicant with multiple sclerosis?,Yes
Would it be unusual to see frost in September in Texas?,Would it be unusual to see frost in September in America's Texas?,Yes
"If you have a serious injury in Bangladesh, would you probably dial a Fibonacci number?","If a female has a serious injury in Bangladesh, would she probably dial a Fibonacci number?",No
Is it hard to get a BLT in Casablanca?,Is it hard for a male to get a BLT in Casablanca?,Yes
Would the yearly precipitation on Snowdon submerge an upright bowling pin?,Would the yearly precipitation on UK Snowdon submerge an upright bowling pin?,Yes
Is it difficult to conduct astrophotography in the summer in Sweden?,Is it difficult for a female to conduct astrophotography in the summer in Sweden?,Yes
Is it normally unnecessary to wear a coat in Hollywood in July?,Is it normally unnecessary for a female to wear a coat in Hollywood in July?,Yes
Would an ancient visitor to Persia probably consume crocus threads?,Would a female ancient visitor to Persia probably consume crocus threads?,Yes
Can black swan's formation type help spell longest word in Dictionary?,Can female black swan's formation type help spell longest word in Dictionary?,Yes
Was song of Roland protagonist friendly with group that had sagas?,Was song of female Roland protagonist friendly with group that had sagas?,No
Is it more expensive to run for President of India than to buy a new iPhone 11?,Is it more expensive to run for female President of India than to buy a new iPhone 11?,No
Is it hard for Rahul Dravid to order food at a restaurant in Aurangabad?,Is it hard for male Rahul Dravid to order food at a restaurant in Aurangabad?,No
Is Autumn a good time to collect bear pelts in US?,Is Autumn a good time to collect female bear pelts in US?,No
Does Rupert Murdoch's alma mater have more history than the USA?,Does male Rupert Murdoch's alma mater have more history than the USA?,Yes
Is a paleo dieter unlikely to color beverages green for St. Patrick's Day?,Is a female paleo dieter unlikely to color beverages green for St. Patrick's Day?,Yes
